_id,prolificId,day,questions,helplineClicks,homePageClicks,glossaryHover,quiz,__v
66a2795cab7653eaa1eb0bc9,6654b65b54cb69ea064c38be,1,"38,27,41,32,39,15,33,27",0,0,{},",,false",0
66a28a8b251952a1df6d94df,5c464ddf26217400018ca5d6,1,"31,48,61,51,43,23,29,27",0,0,"{'naloxone': 2, 'suboxone': 1, 'medication-assisted treatment': 3, 'methadone': 3}","false,,",0
66a2f295408846a7421a384a,62928f82dddd8d4039f8b5fe,1,"6,1,1,0,1,0,1,0",0,0,{},",,",0
66a3e46535a20151529138cb,5c464ddf26217400018ca5d6,2,"8,129,60,78,40,38,22,30",0,0,"{'methadone': 3, 'withdrawal': 2}","false,,false",0
66a3fa801535d2aac4d1f655,6654b65b54cb69ea064c38be,2,"7,24,16,28,16,24,19,13",0,0,{},",,",0
66a414aaed739da20760a42e,62928f82dddd8d4039f8b5fe,2,"2,0,1,0,0,1,2,1",0,0,{},"false,,",0
66a528c25d31780360062900,6654b65b54cb69ea064c38be,3,"5,14,20,28,29,13,14,7",0,0,{},",,",0
66a555f7eaa8dfdae0baf679,6654b65b54cb69ea064c38be,3,"4,58,39,85,102,39,159,19",0,0,{},"false,true,true",0
66a56f8b7ee26e883ddbfde3,62928f82dddd8d4039f8b5fe,3,"5,32,25,61,57,33,41,20",0,0,{},"true,true,true",0
66a5816658487b5041fac77e,5c464ddf26217400018ca5d6,3,"3,1,0,1,1,36,33,18",0,0,{},"true,true,true",0
66a688430c0d086c7c83739d,test 2,1,"10,36,70,50,61,34,44,49",0,0,"{'relapse': 2, 'suboxone': 4, 'medication-assisted treatment': 1, 'buprenorphine': 3, 'withdrawal': 4, 'heroin': 2, 'methadone': 8}","true,true,false",0
66a7b2ab69ba97a1e78ad7cb,62928f82dddd8d4039f8b5fe,4,"5,45,17,27,22,32,39,25",0,0,{},"false,true,false",0
66a7d7e126238b999c9352b8,5c464ddf26217400018ca5d6,4,"2,47,12,25,25,48,27,43",0,0,{},"true,true,false",0
66a85f09292d3c5088d237cd,6654b65b54cb69ea064c38be,4,"5,82,47,33,47,27,56,27",0,0,{},"false,true,false",0
66a8fe29872e9d6e0106830b,62928f82dddd8d4039f8b5fe,5,"23,35,59,45,45,11,16,9",0,0,{},"true,true,true",0
66a93fac6916f00bafbe2972,5c464ddf26217400018ca5d6,5,"7,32,47,27,32,13,34,22",0,0,"{'medication-assisted treatment': 2, 'relapse': 1}","true,true,true",0
66aa808753de6030e1281f02,6654b65b54cb69ea064c38be,5,"3,520,141,530,544,9,42,7",0,0,{'medication-assisted treatment': 8},"true,true,true",0
66aab411f9b10a29a21f0acf,6654b65b54cb69ea064c38be,6,"1,5,129,333,28,32,69,85",0,0,{},"true,false,false",0
66aad2b9a0e22b7f1ee9a7e1,62928f82dddd8d4039f8b5fe,6,"3,13,40,136,40,55,62,158",0,0,{},"true,false,false",0
66abb2425a6aa2346be6db99,5c464ddf26217400018ca5d6,6,"3,20,33,42,27,45,74,139",0,0,"{'suboxone': 5, 'taper': 4}","true,false,false",0
66abb3c95839440ac2f61157,5c464ddf26217400018ca5d6,7,"2,26,26,18,35,77,39,54",0,0,{'withdrawal': 2},"true,false,true",0
66abbd8dd2fb32eaf4eb4289,62928f82dddd8d4039f8b5fe,7,"1,23,32,15,28,50,26,44",0,0,{},"true,false,true",0
66ad17fbf8a300d69770804d,5c464ddf26217400018ca5d6,8,"2,50,28,54,41,42,15,9",0,0,"{'medication-assisted treatment': 1, 'methadone': 1, 'heroin': 2}","true,false,false",0
66ad4180f3cdc5549f50ad1a,6654b65b54cb69ea064c38be,7,"3,50,17,39,98,135,94,45",0,0,{},"true,false,true",0
66ad44bdd477b04c633b8765,6654b65b54cb69ea064c38be,8,"2,59,76,81,215,152,26,52",0,0,{},"true,false,true",0
66ae365c7f18a2a8a6b48ce9,5c464ddf26217400018ca5d6,9,"1,50,26,43,24,16,30,29",0,0,"{'withdrawals': 2, 'withdrawal': 1, 'methadone': 1}","false,false,true",0
66aee7ce63ef689fd1805edc,62928f82dddd8d4039f8b5fe,8,"1,38,37,65,79,52,12,13",0,0,{},"true,false,true",0
66aee9217abb026fb95a4a3f,62928f82dddd8d4039f8b5fe,9,"4,55,34,52,17,21,43,40",0,0,{},"false,false,true",0
66af18933bdb2f3af35574f0,6654b65b54cb69ea064c38be,9,"12,113,37,322,8,15,66,22",0,0,{},"false,,true",0
66b1148c1141f330b5a6b5ed,5c464ddf26217400018ca5d6,10,"2,50,52,18,36,49,29,16",0,0,"{'methadone': 2, 'buprenorphine': 1}","true,false,true",0
66b1a87f3805b4a34cca9038,6654b65b54cb69ea064c38be,10,"1,97,290,49,213,261,18,125",0,0,{},"true,false,true",0
66b20ce37b9ace882e383eb8,62928f82dddd8d4039f8b5fe,10,"1,52,102,54,30,70,82,21",0,0,{},"false,false,true",0
66b22039a6001063d7e59e8b,62928f82dddd8d4039f8b5fe,11,"1,61,40,45,73,25,51,33",0,0,{'suboxone': 1},"true,true,true",0
66b25bc4b82aba53c3fe3a03,5c464ddf26217400018ca5d6,11,"1,59,51,73,59,31,68,27",0,0,"{'withdrawal': 2, 'heroin': 1, 'relapse': 1, 'suboxone': 1}","true,true,true",0
66b2ff8bf3e0581602e97e8d,6654b65b54cb69ea064c38be,11,"1,61,42,41,60,35,34,15",0,0,{},"true,false,true",0
66b398ba7e7b2c9ed47de593,5c464ddf26217400018ca5d6,12,"3,54,27,66,57,129,54,48",0,0,"{'buprenorphine': 1, 'medication-assisted treatment': 1, 'suboxone': 1}","false,true,true",0
66b43c5b13a71fc197b56e0e,6654b65b54cb69ea064c38be,12,"1,54,27,83,81,92,47,47",0,0,{},"false,false,true",0
